PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI,Label
21205307,time-series clustering of gene expression in irradiated and bystander fibroblasts: an application of fbpa clustering,"Ghandhi SA, Sinha A, Markatou M, Amundson SA.",BMC Genomics. 2011 Jan 4;12:2. doi: 10.1186/1471-2164-12-2.,Ghandhi SA,BMC Genomics,2011,2011/01/06,PMC3022823,,10.1186/1471-2164-12-2,1
25409906,dynamic analyses of alternative polyadenylation from rna-seq reveal a 3'-utr landscape across seven tumour types,"Xia Z, Donehower LA, Cooper TA, Neilson JR, Wheeler DA, Wagner EJ, Li W.",Nat Commun. 2014 Nov 20;5:5274. doi: 10.1038/ncomms6274.,Xia Z,Nat Commun,2014,2014/11/21,PMC4467577,NIHMS674338,10.1038/ncomms6274,0
14984408,temporal and spatial patterns of kv1.1 and kv1.2 protein and gene expression in spinal cord white matter after acute and chronic spinal cord injury in rats: implications for axonal pathophysiology after neurotrauma,"Karimi-Abdolrezaee S, Eftekharpour E, Fehlings MG.",Eur J Neurosci. 2004 Feb;19(3):577-89. doi: 10.1111/j.0953-816x.2004.03164.x.,Karimi-Abdolrezaee S,Eur J Neurosci,2004,2004/02/27,,,10.1111/j.0953-816x.2004.03164.x,0
19340919,simultaneously segmenting multiple gene expression time courses by analyzing cluster dynamics,"Tadepalli S, Ramakrishnan N, Watson LT, Mishra B, Helm RF.",J Bioinform Comput Biol. 2009 Apr;7(2):339-56. doi: 10.1142/s0219720009004114.,Tadepalli S,J Bioinform Comput Biol,2009,2009/04/03,,,10.1142/s0219720009004114,1
18547802,rna dynamics: it is about time,"Al-Hashimi HM, Walter NG.",Curr Opin Struct Biol. 2008 Jun;18(3):321-9. doi: 10.1016/j.sbi.2008.04.004. Epub 2008 Jun 9.,Al-Hashimi HM,Curr Opin Struct Biol,2008,2008/06/13,PMC2580758,NIHMS74438,10.1016/j.sbi.2008.04.004,0
29049419,multi-time series rna-seq analysis of enterobacter lignolyticus scf1 during growth in lignin-amended medium,"Orellana R, Chaput G, Markillie LM, Mitchell H, Gaffrey M, Orr G, DeAngelis KM.",PLoS One. 2017 Oct 19;12(10):e0186440. doi: 10.1371/journal.pone.0186440. eCollection 2017.,Orellana R,PLoS One,2017,2017/10/20,PMC5648182,,10.1371/journal.pone.0186440,1
23284893,spatial and temporal gene expression differences in core and periinfarct areas in experimental stroke: a microarray analysis,"Ramos-Cejudo J, Gutiérrez-Fernández M, Rodríguez-Frutos B, Expósito Alcaide M, Sánchez-Cabo F, Dopazo A, Díez-Tejedor E.",PLoS One. 2012;7(12):e52121. doi: 10.1371/journal.pone.0052121. Epub 2012 Dec 17.,Ramos-Cejudo J,PLoS One,2012,2013/01/04,PMC3524135,,10.1371/journal.pone.0052121,1
34801754,longitudinal analysis of sars-cov-2 spike and rna-dependent rna polymerase protein sequences reveals the emergence and geographic distribution of diverse mutations,"Showers WM, Leach SM, Kechris K, Strong M.",Infect Genet Evol. 2022 Jan;97:105153. doi: 10.1016/j.meegid.2021.105153. Epub 2021 Nov 18.,Showers WM,Infect Genet Evol,2022,2021/11/21,PMC8600767,,10.1016/j.meegid.2021.105153,0
19695084,extracting biologically significant patterns from short time series gene expression data,"Tchagang AB, Bui KV, McGinnis T, Benos PV.",BMC Bioinformatics. 2009 Aug 20;10:255. doi: 10.1186/1471-2105-10-255.,Tchagang AB,BMC Bioinformatics,2009,2009/08/22,PMC2743670,,10.1186/1471-2105-10-255,1
27610229,linking α to ω: diverse and dynamic rna-based mechanisms to regulate gene expression by 5'-to-3' communication,"Filbin ME, Kieft JS.",F1000Res. 2016 Aug 19;5:F1000 Faculty Rev-2037. doi: 10.12688/f1000research.7913.1. eCollection 2016.,Filbin ME,F1000Res,2016,2016/09/10,PMC4995689,,10.12688/f1000research.7913.1,0
16232223,temporal cytokine gene expression patterns in subjects with trachoma identify distinct conjunctival responses associated with infection,"Faal N, Bailey RL, Sarr I, Joof H, Mabey DC, Holland MJ.",Clin Exp Immunol. 2005 Nov;142(2):347-53. doi: 10.1111/j.1365-2249.2005.02917.x.,Faal N,Clin Exp Immunol,2005,2005/10/20,PMC1809514,,10.1111/j.1365-2249.2005.02917.x,1
21825077,dynamics of the putative rna helicase spb4 during ribosome assembly in saccharomyces cerevisiae,"García-Gómez JJ, Lebaron S, Froment C, Monsarrat B, Henry Y, de la Cruz J.",Mol Cell Biol. 2011 Oct;31(20):4156-64. doi: 10.1128/MCB.05436-11. Epub 2011 Aug 8.,García-Gómez JJ,Mol Cell Biol,2011,2011/08/10,PMC3187284,,10.1128/MCB.05436-11,0
32611366,"comparative rna-seq transcriptome analyses reveal dynamic time-dependent effects of (56)fe, (16)o, and (28)si irradiation on the induction of murine hepatocellular carcinoma","Nia AM, Khanipov K, Barnette BL, Ullrich RL, Golovko G, Emmett MR.",BMC Genomics. 2020 Jul 1;21(1):453. doi: 10.1186/s12864-020-06869-4.,Nia AM,BMC Genomics,2020,2020/07/03,PMC7329445,,10.1186/s12864-020-06869-4,1
21971296,capturing changes in gene expression dynamics by gene set differential coordination analysis,"Yu T, Bai Y.",Genomics. 2011 Dec;98(6):469-77. doi: 10.1016/j.ygeno.2011.09.001. Epub 2011 Sep 24.,Yu T,Genomics,2011,2011/10/06,PMC3224192,NIHMS331728,10.1016/j.ygeno.2011.09.001,0
33654297,dynamics of rna-protein interactions studied in living cells,Rissland OS.,Nature. 2021 Mar;591(7848):39-40. doi: 10.1038/d41586-021-00236-3.,Rissland OS,Nature,2021,2021/03/03,,,10.1038/d41586-021-00236-3,0
23066959,time course gene expression profiling of yeast spore germination reveals a network of transcription factors orchestrating the global response,"Geijer C, Pirkov I, Vongsangnak W, Ericsson A, Nielsen J, Krantz M, Hohmann S.",BMC Genomics. 2012 Oct 15;13:554. doi: 10.1186/1471-2164-13-554.,Geijer C,BMC Genomics,2012,2012/10/17,PMC3577491,,10.1186/1471-2164-13-554,0
18235221,dynamic epigenetic states of ribosomal rna promoters during the cell cycle,"Brown SE, Szyf M.",Cell Cycle. 2008 Feb 1;7(3):382-90. doi: 10.4161/cc.7.3.5283. Epub 2007 Nov 5.,Brown SE,Cell Cycle,2008,2008/02/01,,,10.4161/cc.7.3.5283,0
