PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI,Label
33485387,time-course single-cell rna sequencing reveals transcriptional dynamics and heterogeneity of limbal stem cells derived from human pluripotent stem cells,"Sun C, Wang H, Ma Q, Chen C, Yue J, Li B, Zhang X.",Cell Biosci. 2021 Jan 23;11(1):24. doi: 10.1186/s13578-021-00541-4.,Sun C,Cell Biosci,2021,2021/01/24,PMC7824938,,10.1186/s13578-021-00541-4,1
31852401,longitudinal rna-seq analysis of the repeatability of gene expression and splicing in human platelets identifies a platelet selp splice qtl,"Rondina MT, Voora D, Simon LM, Schwertz H, Harper JF, Lee O, Bhatlekar SC, Li Q, Eustes AS, Montenont E, Campbell RA, Tolley ND, Kosaka Y, Weyrich AS, Bray PF, Rowley JW.",Circ Res. 2020 Feb 14;126(4):501-516. doi: 10.1161/CIRCRESAHA.119.315215. Epub 2019 Dec 19.,Rondina MT,Circ Res,2020,2019/12/20,PMC7323475,NIHMS1549147,10.1161/CIRCRESAHA.119.315215,1
30527648,time series analysis of gene changes and processes after burn with human gene expression profiles,"Wu D, Zhou M, Li L, Leng X, Zhang Z, Wang N, Sun Y.",Burns. 2019 Mar;45(2):387-397. doi: 10.1016/j.burns.2018.08.022. Epub 2018 Dec 7.,Wu D,Burns,2019,2018/12/12,,,10.1016/j.burns.2018.08.022,1
25116415,a time course-dependent metastatic gene expression signature predicts outcome in human metastatic melanomas,"Chen R, Zhang G, Zhou Y, Li N, Lin J.",Diagn Pathol. 2014 Aug 13;9:155. doi: 10.1186/s13000-014-0155-2.,Chen R,Diagn Pathol,2014,2014/08/14,PMC4149277,,10.1186/s13000-014-0155-2,1
28370374,the gene expression and immunohistochemical time-course of diphenylcyclopropenone-induced contact allergy in healthy humans following repeated epicutaneous challenges,"Mose KF, Burton M, Thomassen M, Andersen F, Kruse TA, Tan Q, Skov L, Røpke MA, Litman T, Clemmensen O, Kristensen BW, Friedmann PS, Andersen KE.",Exp Dermatol. 2017 Oct;26(10):926-933. doi: 10.1111/exd.13345. Epub 2017 Jul 9.,Mose KF,Exp Dermatol,2017,2017/04/04,,,10.1111/exd.13345,1
25412507,gene expression analyses of the spatio-temporal relationships of human medulloblastoma subgroups during early human neurogenesis,"Hooper CM, Hawes SM, Kees UR, Gottardo NG, Dallas PB.",PLoS One. 2014 Nov 20;9(11):e112909. doi: 10.1371/journal.pone.0112909. eCollection 2014.,Hooper CM,PLoS One,2014,2014/11/21,PMC4239019,,10.1371/journal.pone.0112909,1
24931974,methods for time series analysis of rna-seq data with application to human th17 cell differentiation,"Äijö T, Butty V, Chen Z, Salo V, Tripathi S, Burge CB, Lahesmaa R, Lähdesmäki H.",Bioinformatics. 2014 Jun 15;30(12):i113-20. doi: 10.1093/bioinformatics/btu274.,Äijö T,Bioinformatics,2014,2014/06/17,PMC4058923,,10.1093/bioinformatics/btu274,1
17823296,"time course of proteolytic, cytokine, and myostatin gene expression after acute exercise in human skeletal muscle","Louis E, Raue U, Yang Y, Jemiolo B, Trappe S.",J Appl Physiol (1985). 2007 Nov;103(5):1744-51. doi: 10.1152/japplphysiol.00679.2007. Epub 2007 Sep 6.,Louis E,J Appl Physiol (1985),2007,2007/09/08,,,10.1152/japplphysiol.00679.2007,1
18387200,time-course analysis of genome-wide gene expression data from hormone-responsive human breast cancer cells,"Mutarelli M, Cicatiello L, Ferraro L, Grober OM, Ravo M, Facchiano AM, Angelini C, Weisz A.",BMC Bioinformatics. 2008 Mar 26;9 Suppl 2(Suppl 2):S12. doi: 10.1186/1471-2105-9-S2-S12.,Mutarelli M,BMC Bioinformatics,2008,2008/04/18,PMC2323661,,10.1186/1471-2105-9-S2-S12,1
21356094,time course analysis of gene expression identifies multiple genes with differential expression in patients with in-stent restenosis,"Ganesh SK, Joo J, Skelding K, Mehta L, Zheng G, O'Neill K, Billings EM, Helgadottir A, Andersen K, Thorgeirsson G, Gudnason T, Geller NL, Simari RD, Holmes DR, O'Neill WW, Nabel EG.",BMC Med Genomics. 2011 Feb 28;4:20. doi: 10.1186/1755-8794-4-20.,Ganesh SK,BMC Med Genomics,2011,2011/03/02,PMC3053213,,10.1186/1755-8794-4-20,1
