"Model","Subset","Metric","Variance","SD","Mean","Median"
"MAP",1,"Accuracy",0,0,86.4788732394366,86.4788732394366
"MAP",1,"F1",1.23259516440783e-30,1.11022302462516e-14,87.3015873015873,87.3015873015873
"MAP",1,"Precision",0,0,80.8823529411765,80.8823529411765
"MAP",1,"Recall",0,0,94.8275862068966,94.8275862068966
"MAP",1,"AUC ROC",1.23259516440783e-30,1.11022302462516e-14,86.6403124404649,86.6403124404649
"MAP",1,"Coverage",0,0,77.1739130434783,77.1739130434783
"MLE",1,"Accuracy",0.158744057439978,3.98426978805374,84.6855034021451,81.4323607427056
"MLE",1,"F1",0.0553325774754347,2.35228776886321,84.4206349206349,82.5
"MLE",1,"Precision",0.148780933277799,3.85721315560599,76.1582509109839,73.0088495575221
"MLE",1,"Recall",0,0,94.8275862068966,94.8275862068966
"MLE",1,"AUC ROC",0.161629921570932,4.020322394671,85.6717420510524,82.3891625615764
"MLE",1,"Coverage",0.781361058601134,8.83946298482625,89.1739130434783,81.9565217391304
"MV",1,"Accuracy",0,0,86.4788732394366,86.4788732394366
"MV",1,"F1",1.23259516440783e-30,1.11022302462516e-14,87.3015873015873,87.3015873015873
"MV",1,"Precision",0,0,80.8823529411765,80.8823529411765
"MV",1,"Recall",0,0,94.8275862068966,94.8275862068966
"MV",1,"AUC ROC",1.23259516440783e-30,1.11022302462516e-14,86.6403124404649,86.6403124404649
"MV",1,"Coverage",0,0,77.1739130434783,77.1739130434783
"SVM",1,"Accuracy",0,0,0,0
"SVM",1,"F1",0,0,0,0
"SVM",1,"Precision",0,0,0,0
"SVM",1,"Recall",0,0,0,0
"SVM",1,"AUC ROC",0,0,0,0
"SVM",1,"Coverage",0,0,0,0
"MAP",5,"Accuracy",0,0,86.4788732394366,86.4788732394366
"MAP",5,"F1",1.23259516440783e-30,1.11022302462516e-14,87.3015873015873,87.3015873015873
"MAP",5,"Precision",0,0,80.8823529411765,80.8823529411765
"MAP",5,"Recall",0,0,94.8275862068966,94.8275862068966
"MAP",5,"AUC ROC",1.23259516440783e-30,1.11022302462516e-14,86.6403124404649,86.6403124404649
"MAP",5,"Coverage",0,0,77.1739130434783,77.1739130434783
"MLE",5,"Accuracy",0.582395108168794,7.63148156106528,80.7903356014301,81.4323607427056
"MLE",5,"F1",0.412926710836963,6.42593737004154,80.6249137336094,82.5
"MLE",5,"Precision",0.838044811188489,9.15447874643056,70.661391973234,73.0088495575221
"MLE",5,"Recall",0,0,94.8275862068966,94.8275862068966
"MLE",5,"AUC ROC",0.376432962754489,6.13541329296152,82.872472355231,82.3891625615764
"MLE",5,"Coverage",0.781361058601134,8.83946298482625,92.7826086956522,100
"MV",5,"Accuracy",0,0,86.4788732394366,86.4788732394366
"MV",5,"F1",1.23259516440783e-30,1.11022302462516e-14,87.3015873015873,87.3015873015873
"MV",5,"Precision",0,0,80.8823529411765,80.8823529411765
"MV",5,"Recall",0,0,94.8275862068966,94.8275862068966
"MV",5,"AUC ROC",1.23259516440783e-30,1.11022302462516e-14,86.6403124404649,86.6403124404649
"MV",5,"Coverage",0,0,77.1739130434783,77.1739130434783
"SVM",5,"Accuracy",5.31977315689981,23.0646334393153,42.5217391304348,46.0869565217391
"SVM",5,"F1",5.31096068446153,23.0455216570628,41.2311722790204,55.4455445544554
"SVM",5,"Precision",5.01968633918255,22.4046565231037,39.3374676634439,41.1483253588517
"SVM",5,"Recall",17.1800766283525,41.4488559894631,60.1149425287356,84.4827586206897
"SVM",5,"AUC ROC",5.42048520297857,23.2819354929494,45.9665621734587,56.4182943493288
"SVM",5,"Coverage",16,40,80,100
"MAP",10,"Accuracy",0,0,86.4788732394366,86.4788732394366
"MAP",10,"F1",1.23259516440783e-30,1.11022302462516e-14,87.3015873015873,87.3015873015873
"MAP",10,"Precision",0,0,80.8823529411765,80.8823529411765
"MAP",10,"Recall",0,0,94.8275862068966,94.8275862068966
"MAP",10,"AUC ROC",1.23259516440783e-30,1.11022302462516e-14,86.6403124404649,86.6403124404649
"MAP",10,"Coverage",0,0,77.1739130434783,77.1739130434783
"MLE",10,"Accuracy",0.0765026760680855,2.76591171348772,86.0631991696459,87.2679045092838
"MLE",10,"F1",0.0553325774754347,2.35228776886321,85.3809523809524,87.3015873015873
"MLE",10,"Precision",0.148780933277799,3.85721315560599,77.7329515877147,80.8823529411765
"MLE",10,"Recall",0,0,94.8275862068966,94.8275862068966
"MLE",10,"AUC ROC",0.0710637212322209,2.66577795834951,87.0699989665507,87.807881773399
"MLE",10,"Coverage",0.781361058601134,8.83946298482625,89.1739130434783,81.9565217391304
"MV",10,"Accuracy",0,0,86.4788732394366,86.4788732394366
