"Model","Subset","Metric","Variance","SD","Mean","Median"
"MAP",1,"Accuracy",0,0,65.7004830917874,65.7004830917874
"MAP",1,"F1",0,0,48.9208633093525,48.9208633093525
"MAP",1,"Precision",0,0,34.3434343434343,34.3434343434343
"MAP",1,"Recall",0,0,85,85
"MAP",1,"AUC ROC",0,0,73.0389221556886,73.0389221556886
"MAP",1,"Coverage",0,0,18.8010899182561,18.8010899182561
"MLE",1,"Accuracy",0,0,65.8653846153846,65.8653846153846
"MLE",1,"F1",0,0,48.9208633093525,48.9208633093525
"MLE",1,"Precision",0,0,34.3434343434343,34.3434343434343
"MLE",1,"Recall",0,0,85,85
"MLE",1,"AUC ROC",0,0,73.1547619047619,73.1547619047619
"MLE",1,"Coverage",0,0,18.8919164396004,18.8919164396004
"MV",1,"Accuracy",0,0,65.7004830917874,65.7004830917874
"MV",1,"F1",0,0,48.9208633093525,48.9208633093525
"MV",1,"Precision",0,0,34.3434343434343,34.3434343434343
"MV",1,"Recall",0,0,85,85
"MV",1,"AUC ROC",0,0,73.0389221556886,73.0389221556886
"MV",1,"Coverage",0,0,18.8010899182561,18.8010899182561
"SVM",1,"Accuracy",0,0,0,0
"SVM",1,"F1",0,0,0,0
"SVM",1,"Precision",0,0,0,0
"SVM",1,"Recall",0,0,0,0
"SVM",1,"AUC ROC",0,0,0,0
"SVM",1,"Coverage",0,0,0,0
"MAP",5,"Accuracy",0,0,65.7004830917874,65.7004830917874
"MAP",5,"F1",0,0,48.9208633093525,48.9208633093525
"MAP",5,"Precision",0,0,34.3434343434343,34.3434343434343
"MAP",5,"Recall",0,0,85,85
"MAP",5,"AUC ROC",0,0,73.0389221556886,73.0389221556886
"MAP",5,"Coverage",0,0,18.8010899182561,18.8010899182561
"MLE",5,"Accuracy",0.00885007628770626,0.940748440748442,65.3950103950104,65.8653846153846
"MLE",5,"F1",2.9480757808043e-05,0.0542961856929591,48.948011402199,48.9208633093525
"MLE",5,"Precision",2.82632700999184e-05,0.0531632110579472,34.3168527379054,34.3434343434343
"MLE",5,"Recall",0.00444444444444447,0.666666666666669,85.3333333333333,85
"MLE",5,"AUC ROC",0.00162528067820062,0.403147699757871,72.953188054883,73.1547619047619
"MLE",5,"Coverage",0.00258702970876943,0.508628519527703,19.1462306993642,18.8919164396004
"MV",5,"Accuracy",0,0,65.7004830917874,65.7004830917874
"MV",5,"F1",0,0,48.9208633093525,48.9208633093525
"MV",5,"Precision",0,0,34.3434343434343,34.3434343434343
"MV",5,"Recall",0,0,85,85
"MV",5,"AUC ROC",0,0,73.0389221556886,73.0389221556886
"MV",5,"Coverage",0,0,18.8010899182561,18.8010899182561
"SVM",5,"Accuracy",12.4646655133926,35.3053331855013,70.3905540417802,88.283378746594
"SVM",5,"F1",0.49939171624656,7.06676528721989,8.34308278332879,8.24742268041237
"SVM",5,"Precision",0.775234737386983,8.80474154865992,11.2322857835834,11.2903225806452
"SVM",5,"Recall",1.13153482700808,10.6373625819941,9.1358024691358,4.93827160493827
"SVM",5,"AUC ROC",4.5513916168151,21.3339907584472,42.1953522149601,51.6249092229484
"SVM",5,"Coverage",16,40,80,100
"MAP",10,"Accuracy",0,0,65.7004830917874,65.7004830917874
"MAP",10,"F1",0,0,48.9208633093525,48.9208633093525
"MAP",10,"Precision",0,0,34.3434343434343,34.3434343434343
"MAP",10,"Recall",0,0,85,85
"MAP",10,"AUC ROC",0,0,73.0389221556886,73.0389221556886
"MAP",10,"Coverage",0,0,18.8010899182561,18.8010899182561
"MLE",10,"Accuracy",0.0086785219971291,0.931585852035608,65.3750866250866,65.8653846153846
"MLE",10,"F1",0.0048305506902126,0.695021632052744,48.6082831847729,48.9208633093525
"MLE",10,"Precision",2.82632700999184e-05,0.0531632110579472,34.3168527379054,34.3434343434343
"MLE",10,"Recall",0.159753086419753,3.99691238857888,83.4444444444445,85
"MLE",10,"AUC ROC",0.0209738938240773,1.44823664585859,72.2054748453053,73.1547619047619
"MLE",10,"Coverage",0.00388054456315414,0.622940170735051,19.4005449591281,18.8919164396004
"MV",10,"Accuracy",0,0,65.7004830917874,65.7004830917874
"MV",10,"F1",0,0,48.9208633093525,48.9208633093525
"MV",10,"Precision",0,0,34.3434343434343,34.3434343434343
"MV",10,"Recall",0,0,85,85
"MV",10,"AUC ROC",0,0,73.0389221556886,73.0389221556886
"MV",10,"Coverage",0,0,18.8010899182561,18.8010899182561
"SVM",10,"Accuracy",19.5876954399477,44.257988476599,36.1126248864668,0
"SVM",10,"F1",0.142190150717175,3.77081093025326,2.84305005255923,0
"SVM",10,"Precision",15.3460207612457,39.1739974488763,22.0588235294118,0
"SVM",10,"Recall",0.112178021643042,3.3492987570989,2.22222222222222,0
