"Model","Subset","Metric","Variance","SD","Mean","Median"
"MAP",1,"Accuracy",0,0,92.2033898305085,92.2033898305085
"MAP",1,"F1",1.23259516440783e-30,1.11022302462516e-14,91.3857677902622,91.3857677902622
"MAP",1,"Precision",0,0,99.1869918699187,99.1869918699187
"MAP",1,"Recall",1.23259516440783e-30,1.11022302462516e-14,84.7222222222222,84.7222222222222
"MAP",1,"AUC ROC",0,0,92.0299852832965,92.0299852832965
"MAP",1,"Coverage",0,0,75.2551020408163,75.2551020408163
"MLE",1,"Accuracy",0.110316983111363,3.32140005285968,87.9048238094993,89.5384615384615
"MLE",1,"F1",0.151817928158034,3.89638201615336,87.2424816955132,89.2405063291139
"MLE",1,"Precision",0.00863496194064998,0.929244959128107,97.6141027445461,97.2413793103448
"MLE",1,"Recall",0.413726921577112,6.43216076895713,79.1598487274798,82.4561403508772
"MLE",1,"AUC ROC",0.081148510794578,2.84865776804758,88.4863735750997,89.9293688767373
"MLE",1,"Coverage",0.0330591420241566,1.81821731440872,83.9285714285714,82.9081632653061
"MV",1,"Accuracy",0,0,92.2033898305085,92.2033898305085
"MV",1,"F1",1.23259516440783e-30,1.11022302462516e-14,91.3857677902622,91.3857677902622
"MV",1,"Precision",0,0,99.1869918699187,99.1869918699187
"MV",1,"Recall",1.23259516440783e-30,1.11022302462516e-14,84.7222222222222,84.7222222222222
"MV",1,"AUC ROC",0,0,92.0299852832965,92.0299852832965
"MV",1,"Coverage",0,0,75.2551020408163,75.2551020408163
"SVM",1,"Accuracy",0,0,0,0
"SVM",1,"F1",0,0,0,0
"SVM",1,"Precision",0,0,0,0
"SVM",1,"Recall",0,0,0,0
"SVM",1,"AUC ROC",0,0,0,0
"SVM",1,"Coverage",0,0,0,0
"MAP",5,"Accuracy",0,0,92.2033898305085,92.2033898305085
"MAP",5,"F1",1.23259516440783e-30,1.11022302462516e-14,91.3857677902622,91.3857677902622
"MAP",5,"Precision",0,0,99.1869918699187,99.1869918699187
"MAP",5,"Recall",1.23259516440783e-30,1.11022302462516e-14,84.7222222222222,84.7222222222222
"MAP",5,"AUC ROC",0,0,92.0299852832965,92.0299852832965
"MAP",5,"Coverage",0,0,75.2551020408163,75.2551020408163
"MLE",5,"Accuracy",0.113860800331011,3.37432660439103,86.8745603809643,87.0317002881844
"MLE",5,"F1",0.154666793230655,3.93276993009577,86.4618763550352,87.1060171919771
"MLE",5,"Precision",0.0164274069377301,1.28169446194209,97.6289076258002,97.3154362416107
"MLE",5,"Recall",0.405306569136124,6.36636920965258,77.8599450013924,80
"MLE",5,"AUC ROC",0.0885923278259559,2.97644633457343,87.778512495733,87.7707006369427
"MLE",5,"Coverage",0.0547688463140358,2.34027447779178,87.5510204081633,88.5204081632653
"MV",5,"Accuracy",0,0,92.2033898305085,92.2033898305085
"MV",5,"F1",1.23259516440783e-30,1.11022302462516e-14,91.3857677902622,91.3857677902622
"MV",5,"Precision",0,0,99.1869918699187,99.1869918699187
"MV",5,"Recall",1.23259516440783e-30,1.11022302462516e-14,84.7222222222222,84.7222222222222
"MV",5,"AUC ROC",0,0,92.0299852832965,92.0299852832965
"MV",5,"Coverage",0,0,75.2551020408163,75.2551020408163
"SVM",5,"Accuracy",0.60417534360683,7.77287169331149,59.1836734693878,63.5204081632653
"SVM",5,"F1",0.50555201054413,7.11021807361863,57.3566292458662,58.6872586872587
"SVM",5,"Precision",3.29744604433827,18.1588712323709,71.1982475331543,77.3913043478261
"SVM",5,"Recall",4.70820029207198,21.6983877098553,57.1144278606965,47.7611940298507
"SVM",5,"AUC ROC",0.70590398061332,8.40180921357608,59.2378422025996,64.4148368107108
"SVM",5,"Coverage",0,0,100,100
"MAP",10,"Accuracy",0.000183855214018954,0.135593220338981,92.271186440678,92.2033898305085
"MAP",10,"F1",0.000262799096424832,0.162110794342891,91.4668231874336,91.3857677902622
"MAP",10,"Precision",6.87806680103361e-08,0.00262260687123206,99.1883031733543,99.1869918699187
"MAP",10,"Recall",0.0007716049382716,0.277777777777777,84.8611111111111,84.7222222222222
"MAP",10,"AUC ROC",0.000192901234567888,0.138888888888884,92.099429727741,92.0299852832965
"MAP",10,"Coverage",0,0,75.2551020408163,75.2551020408163
"MLE",10,"Accuracy",0.0915883780988744,3.02635718478296,87.6386113779939,86.3501483679525
"MLE",10,"F1",0.11609454697735,3.40726498789498,87.5140597041047,86.2857142857143
"MLE",10,"Precision",0.00346113597437221,0.588314199588299,96.2024407879129,96
"MLE",10,"Recall",0.355994405864197,5.96652667692182,80.4861111111111,78.6458333333333
"MLE",10,"AUC ROC",0.0730169975244875,2.70216575221594,88.3322275300779,87.0936173036093
"MLE",10,"Coverage",0.022490628904623,1.49968759762235,87.8061224489796,89.030612244898
"MV",10,"Accuracy",0,0,92.2033898305085,92.2033898305085
"MV",10,"F1",1.23259516440783e-30,1.11022302462516e-14,91.3857677902622,91.3857677902622
"MV",10,"Precision",0,0,99.1869918699187,99.1869918699187
"MV",10,"Recall",1.23259516440783e-30,1.11022302462516e-14,84.7222222222222,84.7222222222222
"MV",10,"AUC ROC",0,0,92.0299852832965,92.0299852832965
"MV",10,"Coverage",0,0,75.2551020408163,75.2551020408163
